generation,N_shifts,logPrior,logLik,eventRate,acceptRate
716900000,137,1085.74,-492.647,109.909,0.228
716950000,145,1178.1,-493.67,125.078,0.226
717000000,112,905.376,-427.68,108.207,0.213
717050000,137,1109.92,-443.02,132.275,0.248
717100000,157,1275.12,-533.06,153.226,0.227
717150000,126,1018.13,-542.812,109.458,0.26
717200000,134,1095.19,-545.756,132.255,0.231
717250000,139,1103.48,-576.143,121.658,0.245
717300000,131,1070.9,-520.799,114.557,0.244
717350000,143,1165.14,-467.329,150.847,0.22
717400000,149,1219.34,-510.837,130.006,0.223
717450000,187,1544.17,-470.954,167.112,0.244
717500000,178,1441.01,-499.071,164.278,0.238
717550000,122,997.878,-555.169,100.279,0.258
717600000,142,1125.93,-478.326,124.083,0.216
717650000,147,1196.28,-504.247,131.12,0.232
717700000,130,1071.24,-541.256,119.33,0.219
717750000,123,1004.51,-522.83,117.126,0.234
717800000,162,1326.45,-566.369,127.676,0.226
717850000,175,1443.78,-603.997,155.314,0.249
717900000,118,972.766,-516.956,91.4249,0.244
717950000,117,941.465,-517.939,93.5358,0.237
718000000,141,1152.95,-519.954,125.043,0.225
718050000,164,1349.17,-498.044,150.423,0.227
718100000,131,1048.14,-490.663,121.051,0.25
718150000,126,990.29,-522.507,159.202,0.248
718200000,133,1066.32,-512.878,131.695,0.248
718250000,128,1011.89,-470.292,124.711,0.237
718300000,147,1204.73,-547.007,133.847,0.242
718350000,129,1030.58,-514.982,107.414,0.235
718400000,151,1208.37,-583.492,149.929,0.263
718450000,160,1305.8,-555.1,127.442,0.237
718500000,145,1173.05,-507.569,147.678,0.246
718550000,157,1252.08,-511.15,133.743,0.246
718600000,128,1030.2,-478.803,110.127,0.247
718650000,121,985.02,-525.785,111.426,0.236
718700000,125,1012.4,-567.544,126.146,0.222
718750000,123,1008.2,-561.569,121.349,0.249
718800000,92,739.586,-410.138,84.998,0.23
718850000,109,886.499,-452.294,88.569,0.234
718900000,143,1134.36,-530.238,136.126,0.238
718950000,136,1101.09,-464.062,122.05,0.244
719000000,118,952.999,-536.385,109.415,0.247
719050000,111,889.939,-474.588,91.7943,0.222
719100000,111,878.828,-517.117,85.5243,0.233
719150000,147,1184.19,-497.797,130.097,0.23
719200000,136,1077.13,-519.406,116.345,0.257
719250000,118,964.719,-512.052,107.339,0.259
719300000,115,953.343,-513.815,94.9152,0.222
719350000,105,796.22,-512.211,86.4939,0.237
719400000,125,1019.18,-492.175,104.546,0.229
719450000,126,1014.15,-524.883,108.812,0.263
719500000,103,826.033,-592.643,98.3162,0.236
719550000,116,954.309,-473.98,100.133,0.233
719600000,103,821.545,-486.237,93.5679,0.223
719650000,104,857.87,-479.384,87.486,0.247
719700000,128,1027.65,-506.854,107.667,0.253
719750000,140,1124.77,-498.804,110.548,0.224
719800000,98,778.268,-555.869,73.3227,0.225
719850000,142,1168.55,-545.927,111.872,0.256
719900000,154,1268.42,-531.281,144.999,0.243
719950000,150,1235.53,-534.843,137.552,0.255
720000000,134,1093.3,-568.503,132.127,0.249
720050000,143,1151.35,-546.155,138.742,0.247
720100000,144,1167.42,-440.691,139.559,0.211
720150000,132,1070.69,-573.892,124.026,0.251
720200000,132,1074.04,-555.616,144.09,0.255
720250000,128,1032.71,-543.8,101.352,0.256
720300000,158,1275.98,-548.308,135.79,0.254
720350000,124,996.523,-528.917,125.175,0.242
