generation,rank_1,rank_2,swapAccepted
536000,1,2,0
537000,2,4,0
538000,3,4,0
539000,3,4,0
540000,3,4,0
541000,1,2,0
542000,2,4,0
543000,2,4,0
544000,2,4,0
545000,2,4,0
546000,1,2,0
547000,2,4,0
548000,3,4,0
549000,1,4,0
550000,3,4,0
551000,1,4,0
552000,2,4,0
553000,3,4,0
554000,3,4,0
555000,3,4,0
556000,3,4,0
557000,1,3,0
558000,3,4,0
559000,1,2,0
560000,2,4,0
561000,3,4,0
562000,2,3,0
563000,3,4,0
564000,2,3,0
565000,1,4,0
566000,1,2,0
567000,3,4,0
568000,1,4,0
569000,1,3,0
570000,2,3,0
571000,1,3,0
572000,1,2,0
573000,1,3,0
574000,3,4,0
575000,3,4,0
576000,1,3,0
577000,2,3,0
578000,1,4,0
579000,1,3,0
580000,2,3,0
581000,1,2,0
582000,2,4,0
583000,1,3,0
584000,3,4,0
585000,1,2,0
586000,1,4,0
587000,1,4,0
588000,2,3,0
589000,2,3,0
590000,3,4,0
591000,2,4,0
592000,2,4,0
593000,1,4,0
594000,1,2,0
595000,2,3,0
596000,1,2,0
597000,2,4,0
598000,2,4,0
599000,1,2,0
600000,1,2,0
601000,1,2,0
602000,2,4,0
603000,2,3,0
604000,1,3,0
605000,2,3,0
606000,1,3,0
607000,2,3,0
608000,1,4,0
609000,2,3,0
610000,2,4,0
611000,2,4,0
612000,1,4,0
613000,1,3,0
614000,1,3,0
615000,2,4,0
616000,3,4,1
617000,1,2,0
618000,1,4,0
619000,1,4,0
620000,1,2,0
621000,1,2,0
622000,1,4,0
623000,3,4,0
624000,2,3,0
625000,1,3,0
626000,1,2,0
627000,2,4,0
628000,3,4,0
629000,2,4,0
630000,1,2,0
631000,1,4,0
632000,1,3,0
633000,1,2,0
634000,1,3,0
635000,2,3,0
636000,3,4,0
637000,2,4,0
638000,1,4,0
639000,2,4,0
640000,3,4,0
641000,1,3,0
642000,2,4,0
643000,3,4,0
644000,1,2,0
645000,3,4,0
646000,1,3,0
647000,1,4,0
648000,2,4,0
649000,2,4,0
650000,2,3,0
651000,1,4,0
652000,3,4,0
653000,2,3,0
654000,2,4,0
655000,1,3,0
656000,2,4,0
657000,3,4,0
658000,3,4,0
659000,2,4,0
660000,2,3,0
661000,1,2,0
662000,1,2,0
663000,3,4,0
664000,2,4,0
665000,2,4,0
666000,3,4,0
667000,2,4,0
668000,1,2,0
669000,3,4,0
670000,2,3,0
671000,1,3,0
672000,1,4,0
673000,2,4,0
674000,1,2,0
675000,1,4,0
676000,2,3,0
677000,3,4,0
678000,2,4,0
679000,1,3,0
680000,1,4,0
681000,3,4,0
682000,1,2,0
683000,1,2,0
684000,2,3,0
685000,2,3,0
686000,2,4,0
687000,2,3,0
688000,1,3,0
689000,1,2,0
690000,3,4,0
691000,1,2,0
692000,1,3,0
693000,2,3,0
694000,2,4,0
695000,2,4,0
696000,3,4,0
697000,2,4,0
698000,2,3,0
699000,3,4,0
700000,1,4,0
701000,1,2,0
702000,2,4,0
703000,1,2,0
704000,3,4,0
705000,1,4,0
706000,2,4,0
707000,1,2,0
708000,3,4,0
709000,1,2,0
710000,1,3,0
711000,1,4,0
712000,2,3,0
713000,1,3,0
714000,3,4,0
715000,2,3,0
716000,2,4,0
717000,1,3,0
718000,2,3,0
719000,2,4,0
720000,1,2,0
721000,2,4,0
