generation,N_shifts,logPrior,logLik,eventRate,acceptRate
113400000,120,954.782,-435.256,102.221,0.191
113450000,141,1140.62,-438.018,143.335,0.248
113500000,145,1170.73,-497.86,133.775,0.229
113550000,142,1154.87,-444.613,130.815,0.227
113600000,128,1021.4,-451.432,127.495,0.236
113650000,108,835.592,-492.699,108.29,0.226
113700000,130,1039.03,-492.754,110.657,0.224
113750000,138,1112.25,-534.881,111.593,0.22
113800000,120,960.575,-426.346,104.654,0.228
113850000,126,993.729,-388.681,126.59,0.205
113900000,138,1128.59,-394.982,128.594,0.242
113950000,140,1122.97,-456.51,125.659,0.226
114000000,122,982.247,-451.495,111.114,0.225
114050000,118,942.352,-352.93,101.072,0.192
114100000,121,976.438,-381.201,115.4,0.232
114150000,110,885.537,-465.673,102.347,0.224
114200000,125,1022.27,-439.237,124.731,0.215
114250000,168,1334.64,-348.031,166.708,0.225
114300000,133,1041.19,-358.845,118.244,0.222
114350000,142,1139.21,-392.495,137.303,0.215
114400000,142,1138.38,-457.241,112.781,0.24
114450000,136,1096.66,-445.848,106.926,0.242
114500000,111,891.822,-390.217,100.496,0.222
114550000,136,1089.36,-369.72,133.787,0.226
114600000,170,1355.24,-358.981,169.685,0.24
114650000,145,1150.92,-330.743,158.133,0.212
114700000,158,1252.49,-378.368,160.962,0.225
114750000,149,1205.73,-346.758,133.814,0.221
114800000,182,1469.98,-380.691,163.809,0.224
114850000,151,1187.23,-340.197,133.451,0.201
114900000,152,1231.44,-400.713,159.593,0.223
114950000,174,1393.63,-275.833,175.954,0.222
115000000,169,1335.43,-351.965,165.115,0.213
115050000,202,1626.23,-371.084,169.945,0.229
115100000,155,1242.67,-294.289,153.94,0.225
115150000,137,1099.44,-418.673,120.617,0.237
115200000,148,1195.31,-357.923,147.713,0.219
115250000,158,1268.55,-357.434,151.058,0.248
115300000,186,1507.83,-315.453,166.677,0.219
115350000,162,1292.14,-362.888,151.782,0.251
115400000,150,1221.66,-413.761,155.195,0.227
115450000,168,1343.91,-410.267,152.424,0.243
115500000,149,1205.85,-486.653,133.281,0.25
115550000,127,1029.77,-429.111,126.792,0.238
115600000,135,1086.65,-432.9,139.219,0.219
115650000,145,1165.7,-395.436,125.704,0.228
115700000,135,1080.02,-406.38,106.455,0.224
115750000,145,1185.57,-485.145,120.286,0.217
115800000,142,1150.42,-467.352,100.016,0.239
115850000,147,1174.59,-427.66,142.539,0.213
115900000,131,1049.38,-463.459,125.245,0.213
115950000,139,1111.73,-430.981,118.194,0.237
116000000,167,1357.33,-493.366,149.977,0.247
116050000,171,1364.92,-385.585,164.291,0.242
116100000,119,971.179,-406.031,102.798,0.219
116150000,157,1241.83,-456.903,132.021,0.216
116200000,140,1130.17,-530.742,133.973,0.239
116250000,144,1151.14,-519.509,141.176,0.243
116300000,126,1022.39,-475.442,109.427,0.25
116350000,142,1136,-537.521,134.878,0.23
116400000,158,1277.91,-452.63,129.299,0.234
116450000,116,933.115,-468.427,116.074,0.221
116500000,143,1146.3,-428.573,120.051,0.235
116550000,102,818.318,-421.817,94.3547,0.212
116600000,109,869.134,-451.742,100.015,0.231
116650000,145,1178.44,-436.065,135.448,0.239
116700000,135,1079.98,-442.306,117.804,0.232
116750000,128,1050.18,-477.035,122.072,0.223
116800000,124,1007.25,-448.267,121.538,0.239
116850000,110,895.113,-504.312,103.857,0.251
116900000,85,677.118,-539.542,82.1246,0.234
116950000,120,955.699,-513.104,118.864,0.216
117000000,107,867.709,-554.136,104.713,0.217
117050000,98,772.437,-562.226,94.6243,0.221
117100000,104,795.458,-587.742,82.8614,0.244
117150000,129,1036.97,-501.994,105.51,0.21
117200000,158,1277.06,-507.13,134.151,0.229
117250000,142,1151.89,-478.723,159.043,0.259
117300000,134,1059.25,-524.214,114.643,0.243
117350000,121,973.98,-426.28,116.104,0.225
117400000,165,1302.8,-440.705,163.191,0.221
117450000,165,1323.79,-449.823,172.835,0.249
117500000,133,1071.19,-465.98,137.665,0.195
117550000,117,941.125,-432.774,111.751,0.256
117600000,108,856.965,-429.638,93.477,0.248
117650000,129,1036.31,-443.778,140.561,0.237
117700000,120,950.01,-436.58,115.111,0.214
117750000,131,1057.2,-453.912,129.388,0.212
117800000,137,1099.61,-394.061,127.777,0.239
117850000,110,849.876,-525.975,102.312,0.219
117900000,139,1111.16,-541.902,134.143,0.247
117950000,125,977.347,-514.271,133.98,0.218
118000000,116,921.001,-579.291,97.353,0.233
118050000,136,1087.84,-503.119,103.274,0.242
118100000,114,917.991,-476.741,120.804,0.227
118150000,107,868.062,-580.452,86.8099,0.233
118200000,114,916.705,-571.678,107.612,0.238
118250000,121,960.771,-537.463,119.15,0.234
118300000,114,930.526,-527.698,104.676,0.237
118350000,111,886.044,-523.172,115.584,0.24
118400000,127,1023.69,-500.342,108.46,0.227
118450000,110,883.146,-554.826,99.7432,0.204
118500000,149,1200.83,-531.82,127.691,0.222
118550000,98,780.253,-590.473,89.8037,0.242
118600000,126,1020.85,-524.108,113.629,0.226
118650000,154,1264.93,-493.169,135.104,0.244
118700000,158,1288.47,-504.251,147.5,0.216
118750000,169,1367.01,-433.345,162.687,0.226
118800000,170,1369.44,-458.624,155.276,0.242
118850000,132,1054.39,-485.349,130.772,0.243
118900000,131,1066.2,-462.648,124.251,0.229
118950000,124,999.091,-421.829,118.39,0.238
119000000,122,974.215,-382.994,119.833,0.232
119050000,128,1031.79,-478.412,111.15,0.231
119100000,129,1036.64,-482.61,117.539,0.241
119150000,130,1041.48,-445.09,115.561,0.217
119200000,140,1133.62,-406.959,150.315,0.23
119250000,143,1138,-497.137,133.806,0.247
119300000,129,1052.61,-426.921,132.564,0.242
119350000,135,1078.94,-430.575,120.992,0.232
119400000,143,1146.22,-362.411,133.893,0.209
119450000,108,869.882,-368.746,102.545,0.212
119500000,167,1351.98,-378.976,172.353,0.224
119550000,136,1081.66,-463.142,138.01,0.24
119600000,153,1191.46,-424.224,147.255,0.228
119650000,131,1043.81,-509.967,115.129,0.254
119700000,146,1174.81,-556.598,131.664,0.249
119750000,164,1321.78,-538.634,137.205,0.254
119800000,140,1114.5,-408.021,128.681,0.25
119850000,153,1239.74,-466.841,113.898,0.241
119900000,138,1121.4,-469.663,128.289,0.223
119950000,155,1212.43,-499.613,131.865,0.235
120000000,119,932.52,-509.478,127.066,0.252
120050000,139,1107.09,-467.446,116.088,0.237
120100000,143,1136.92,-483.102,146.502,0.233
120150000,124,998.001,-495.48,115.388,0.258
120200000,130,1032.86,-450.077,125.083,0.245
120250000,137,1097.78,-492.593,135.701,0.256
120300000,139,1088.64,-509.182,104.591,0.243
120350000,148,1182.61,-563.379,157.91,0.245
120400000,157,1250.41,-481.206,147.884,0.222
120450000,157,1269.87,-427.928,155.379,0.232
120500000,116,943.841,-423.634,102.395,0.236
120550000,134,1090.76,-444.321,130.026,0.224
120600000,132,1063.91,-439.934,140.724,0.246
120650000,102,819.915,-464.96,84.579,0.226
120700000,138,1094.35,-445.1,139.324,0.242
120750000,117,941.507,-414.95,113.144,0.236
120800000,158,1248.68,-437.72,128.272,0.235
120850000,139,1124.61,-440.363,128.265,0.232
120900000,163,1322.02,-411.778,166.733,0.23
120950000,141,1132.01,-392.145,122.089,0.2
121000000,141,1145.64,-470.327,132.706,0.227
121050000,129,1039.29,-443.914,117.513,0.221
121100000,149,1208.44,-406.185,126.961,0.23
121150000,126,1023.4,-484.261,117.893,0.242
121200000,127,1026.54,-437.208,116.368,0.221
121250000,104,826.474,-441.893,90.2715,0.24
121300000,127,1013.86,-386.511,115.516,0.242
121350000,109,872.492,-463.18,84.2067,0.222
121400000,124,1015.21,-462.392,106.834,0.23
121450000,163,1326.13,-487.994,133.696,0.235
121500000,149,1195.36,-426.736,123.977,0.223
121550000,165,1347.81,-434.2,135.569,0.241
121600000,124,979.006,-424.047,122.734,0.217
121650000,127,1019.37,-487.341,133.733,0.235
121700000,120,957.785,-485.856,109.197,0.232
121750000,134,1083.89,-440.369,130.244,0.236
121800000,128,1033.64,-437.414,115.009,0.234
121850000,134,1083.21,-439.332,112.233,0.227
121900000,176,1409.57,-410.216,176.773,0.259
121950000,150,1208.87,-421.905,130.143,0.225
122000000,124,1016.2,-468.08,113.593,0.232
122050000,144,1159.45,-497.141,112.1,0.232
122100000,92,721.875,-471.608,100.001,0.225
122150000,115,896.416,-438.98,107.138,0.227
122200000,129,1028.41,-516.017,108.573,0.25
122250000,124,974.61,-496.086,95.1347,0.256
122300000,127,1014.54,-451.768,126.976,0.232
122350000,143,1151.14,-428.041,145.632,0.216
122400000,126,1026.47,-497.807,89.3448,0.238
122450000,148,1166.77,-497.126,142.415,0.253
122500000,115,904.404,-542.805,92.0105,0.246
122550000,151,1189.37,-593.538,144.373,0.225
122600000,148,1173.49,-546.398,133.907,0.245
122650000,141,1128.66,-493.61,130.918,0.225
122700000,144,1161.12,-427.994,132.399,0.215
122750000,152,1228.93,-470.771,139.968,0.26
122800000,142,1141.39,-501.603,153.812,0.235
122850000,121,965.583,-536.923,113.083,0.218
122900000,133,1056.08,-594.359,141.064,0.215
122950000,94,750.356,-586.075,75.4292,0.228
123000000,109,860.367,-531.186,97.3686,0.232
123050000,88,692.414,-636.193,81.2853,0.223
123100000,114,881.38,-581.977,97.059,0.227
123150000,123,964.03,-526.34,96.4022,0.214
123200000,112,883.449,-472.691,116.823,0.222
123250000,160,1285.95,-520.377,191.594,0.233
123300000,157,1261.98,-498.102,139.552,0.228
123350000,152,1198.02,-468.565,140.12,0.224
123400000,155,1235.43,-398.924,140.279,0.254
123450000,133,1060.6,-427.339,130.663,0.238
123500000,133,1050.13,-468.63,120.655,0.226
123550000,131,1063.35,-426.761,112.871,0.225
123600000,123,999.943,-398.4,103.638,0.237
123650000,133,1065.22,-503.137,105.977,0.258
123700000,134,1091.14,-384.747,108.584,0.231
123750000,146,1163.18,-501.278,141.122,0.255
123800000,134,1084.48,-415.548,123.034,0.239
123850000,216,1738.68,-432.868,212.46,0.232
123900000,159,1256.17,-484.501,129.272,0.221
123950000,134,1077.11,-471.135,117.385,0.239
124000000,120,951.956,-522.716,110.846,0.235
124050000,136,1102.58,-504.978,134.332,0.232
124100000,129,1033.17,-437.131,115.982,0.211
124150000,145,1158.04,-448.932,114.803,0.214
124200000,139,1103.95,-473.023,117.382,0.228
124250000,105,846.642,-439.834,103.278,0.233
124300000,131,1057.25,-395.61,122.082,0.235
124350000,132,1072.16,-382.152,121.122,0.229
124400000,144,1140.29,-455.791,123.432,0.23
124450000,103,820.098,-467.202,95.2408,0.247
124500000,131,1068.1,-429.789,108.939,0.21
124550000,141,1127.12,-449.909,132.519,0.236
124600000,138,1091.32,-491.956,129.198,0.246
124650000,139,1105.29,-392.326,121.868,0.233
124700000,151,1212.91,-422.121,148.941,0.214
124750000,131,1036.08,-507.792,111.512,0.245
124800000,136,1084.14,-395.22,117.037,0.213
124850000,170,1401.64,-410.934,151.072,0.244
124900000,142,1134.39,-412.286,127.586,0.209
124950000,101,780.737,-460.815,108.394,0.212
125000000,127,996.893,-476.391,98.156,0.227
125050000,115,906.125,-506.673,102.442,0.236
125100000,121,954.908,-506.389,100.26,0.234
125150000,156,1263.55,-497.492,122.919,0.243
125200000,118,930.199,-479.493,98.9756,0.212
125250000,133,1052.16,-469.792,132.147,0.222
125300000,126,1008.06,-450.269,123.52,0.227
125350000,147,1189.44,-389.416,122.062,0.223
125400000,143,1156.62,-340.099,148.952,0.223
125450000,134,1089.71,-414.023,120.819,0.216
125500000,123,1004.23,-425.163,121.399,0.241
125550000,162,1308.71,-402.606,154.281,0.237
125600000,160,1294.06,-467.682,151.449,0.233
125650000,145,1170.38,-437.525,132.229,0.213
125700000,136,1108.97,-407.47,135.229,0.238
125750000,145,1185.33,-424.946,132.209,0.236
125800000,148,1185.58,-439.384,149.789,0.24
125850000,141,1129.43,-409.045,127.828,0.211
125900000,163,1310.44,-427.553,141.914,0.222
125950000,140,1112.14,-409.574,125.369,0.217
126000000,134,1082.13,-398.975,124.833,0.25
126050000,126,1017.93,-459.242,104.522,0.23
126100000,152,1224.54,-410.106,118.677,0.225
126150000,141,1134.23,-466.075,130.291,0.243
126200000,163,1325.4,-422.985,148.114,0.23
126250000,130,1046.64,-423.692,108.33,0.24
126300000,149,1184.89,-424.545,146.175,0.233
126350000,147,1172,-446.567,138.359,0.236
126400000,129,1038.34,-475.969,130.05,0.214
126450000,132,1028.97,-479.213,121.005,0.214
126500000,110,869.99,-494.422,84.4688,0.254
126550000,116,913.122,-463.368,108.622,0.243
126600000,117,929.18,-462.033,109.564,0.248
126650000,131,1040.79,-447.49,131.603,0.229
126700000,114,919.61,-531.016,82.9314,0.255
126750000,132,1046.82,-457.992,124.498,0.225
126800000,118,945.832,-450.376,110.552,0.249
126850000,111,869.026,-441.481,81.3623,0.224
126900000,141,1105.79,-430.363,126.817,0.24
126950000,139,1108.34,-399.516,143.427,0.232
127000000,129,1035.49,-355.003,135.302,0.237
127050000,128,1026.91,-397.16,108.393,0.23
127100000,126,1006.91,-369.047,109.858,0.229
127150000,133,1071.66,-397.821,113.077,0.247
127200000,144,1153.69,-380.958,133.693,0.232
127250000,150,1204.23,-382.013,135.244,0.235
127300000,159,1274.82,-425.026,149.146,0.206
127350000,193,1550.7,-392.649,175.08,0.244
127400000,177,1432.07,-414.031,162.786,0.229
127450000,155,1235.57,-361.921,131.337,0.241
127500000,153,1214.41,-352.938,143.071,0.211
127550000,135,1091.91,-339.392,130.816,0.232
127600000,164,1327.5,-401.114,135.338,0.22
127650000,138,1110.39,-355.633,145.225,0.229
127700000,133,1054.56,-409.362,107.01,0.221
127750000,136,1101.88,-461.041,121.602,0.237
127800000,154,1252.58,-432.56,145.697,0.246
127850000,161,1298,-432.149,144.561,0.231
127900000,189,1513.23,-384.992,169.96,0.218
127950000,188,1519.95,-325.799,187.212,0.224
128000000,178,1405.99,-338.6,181.524,0.216
128050000,121,968.89,-428.918,114.728,0.233
128100000,130,1051.72,-471.827,119.282,0.221
128150000,155,1252.46,-528.514,127.762,0.257
128200000,116,913.04,-528.23,104.39,0.242
128250000,138,1108.55,-509.099,141.617,0.253
128300000,160,1265.27,-500.166,144.026,0.226
128350000,129,1019.01,-411.903,111.876,0.241
128400000,130,1047.75,-443.432,115.739,0.245
128450000,142,1119.16,-455.319,126.469,0.233
128500000,167,1336.57,-429.669,157.38,0.243
128550000,197,1555.95,-401.392,184.736,0.21
128600000,164,1324.93,-334.647,151.248,0.211
128650000,148,1190.88,-383.095,143.109,0.224
128700000,135,1074.28,-358.575,145.337,0.217
128750000,126,1009.05,-459.036,99.7467,0.271
128800000,132,1043.53,-409.041,113.778,0.234
128850000,136,1086.22,-447.274,124.129,0.234
128900000,119,911.17,-443.578,101.05,0.234
128950000,106,827.855,-463.928,90.5565,0.222
129000000,112,871.053,-495.211,86.8981,0.213
129050000,102,817.417,-430.284,98.6877,0.222
129100000,148,1170.73,-413.903,137.925,0.213
129150000,148,1192.81,-456.623,149.849,0.247
129200000,172,1389.24,-419.337,144.394,0.207
129250000,137,1104.14,-487.433,122.181,0.242
129300000,116,934.256,-507.21,103.222,0.224
129350000,154,1238.31,-477.096,165.254,0.227
129400000,124,1001.91,-460.55,97.0641,0.228
129450000,118,949.429,-469.64,144.359,0.234
129500000,133,1050.07,-489.23,134.365,0.235
129550000,142,1146.7,-454.78,124.746,0.238
129600000,135,1080.19,-518.831,126.405,0.241
129650000,130,1051.66,-491.779,116.137,0.242
129700000,112,893.697,-438.665,97.1087,0.22
129750000,113,900.431,-406.9,91.7409,0.185
129800000,129,1037.98,-511.219,107.998,0.235
129850000,148,1192.56,-549.117,137.977,0.235
129900000,130,1041.52,-502.362,130.638,0.231
129950000,120,949.494,-540.036,100.71,0.203
130000000,134,1072.19,-473.47,126.276,0.222
130050000,156,1255.14,-524.103,130.783,0.255
130100000,128,1007.38,-510.449,118.137,0.224
130150000,144,1150.96,-516.414,142.129,0.24
130200000,111,862.574,-589.498,125.153,0.227
130250000,128,1017.82,-556.376,114.345,0.251
130300000,109,872.793,-543.263,117.759,0.238
130350000,140,1119.84,-542.536,146.462,0.227
130400000,147,1177.29,-511.742,128.867,0.26
130450000,160,1304.86,-559.256,151.954,0.253
130500000,130,1059.53,-549.364,142.96,0.235
130550000,133,1077.97,-555.44,129.986,0.237
130600000,113,908.546,-546.707,116.378,0.237
130650000,99,802.65,-508.173,90.7416,0.224
130700000,105,849.736,-504.618,95.1197,0.231
130750000,123,993.489,-503.304,117.457,0.223
130800000,127,1019.54,-489.097,120.631,0.213
130850000,142,1161.53,-452.526,130.848,0.225
130900000,116,935.744,-447.918,86.1508,0.223
130950000,135,1091.44,-452.381,124.735,0.221
131000000,147,1136.71,-471.706,130.712,0.238
131050000,141,1144.52,-503.753,111.179,0.241
131100000,94,737.529,-529.236,89.7168,0.203
131150000,127,1014.6,-464.896,116.379,0.237
