ID	publication	order	genus	species	subspecies	single_on	mean_on	deviation_on	minimum_on	maximum_on	n	max_reported_internal_diff	condition	problem	data_notes	text_notes
391	robertson1961ovariole	Coleoptera	Anisodactylus			14										
392	robertson1961ovariole	Coleoptera	Agonoderus	comma		8										
393	robertson1961ovariole	Coleoptera	Noterus	crassicornis		12										
394	robertson1961ovariole	Coleoptera	Hydroponus	palustris					28	32						
395	robertson1961ovariole	Coleoptera	Hydroponus	ovatus					28	32						
396	robertson1961ovariole	Coleoptera	Agabus	seriatus		40										
397	robertson1961ovariole	Coleoptera	Colymbetes	fuscus					60	80						
398	robertson1961ovariole	Coleoptera	Dytiscus	marginalis		60										
399	robertson1961ovariole	Coleoptera	Acilius	sulcatus					60	80						
400	robertson1961ovariole	Coleoptera	Dineutes	discolor		90										
401	robertson1961ovariole	Coleoptera	Helophorus	aquaticus		24										
402	robertson1961ovariole	Coleoptera	Hydrophilus	obtusatus		40										
403	robertson1961ovariole	Coleoptera	Hydrobius	fuscipes		26										
404	robertson1961ovariole	Coleoptera	Cercyon	praetextatus					30	32						
405	robertson1961ovariole	Coleoptera	Necrophorus	orbicollis		24										
406	robertson1961ovariole	Coleoptera	Silpha	surinamensis		44										
407	robertson1961ovariole	Coleoptera	Silpha	obscura		24										
408	robertson1961ovariole	Coleoptera	Silpha	sinuatus		24										
409	robertson1961ovariole	Coleoptera	Silpha			80										
410	robertson1961ovariole	Coleoptera	Scydmaenus	larsatus		8										
411	robertson1961ovariole	Coleoptera	Oxylelus	rugosus		20										
412	robertson1961ovariole	Coleoptera	Stenus	juno		12										
413	robertson1961ovariole	Coleoptera	Stenus	similis		12										
414	robertson1961ovariole	Coleoptera	Stenus	oculatus		18										
415	robertson1961ovariole	Coleoptera	Dianous	coerulescens		10										
416	robertson1961ovariole	Coleoptera	Paederus	riparius		12										
417	robertson1961ovariole	Coleoptera	Nudobius	cephalus					10	12						
418	robertson1961ovariole	Coleoptera	Xantholinus	punctulatus		12										
419	robertson1961ovariole	Coleoptera	Philonthus	varius		12										
420	robertson1961ovariole	Coleoptera	Staphylinus	badipes		12										
421	robertson1961ovariole	Coleoptera	Staphylinus	olens		6										
422	robertson1961ovariole	Coleoptera	Staphylinus	erythropterus		12										
423	robertson1961ovariole	Coleoptera	Tachyponus	chrysomelinus		12										
424	robertson1961ovariole	Coleoptera	Bolitobius	atricapillus		12										
425	robertson1961ovariole	Coleoptera	Bolitobius	itkon	lunulatus	12										
426	robertson1961ovariole	Coleoptera	Atheta	aterrima		12										
427	robertson1961ovariole	Coleoptera	Homalota	aterrima		12										
428	robertson1961ovariole	Coleoptera	Myrmedonia	canaliculata		14										
429	robertson1961ovariole	Coleoptera	Aleochara	lanuginosa		40										
430	robertson1961ovariole	Coleoptera	Hister	sinuatus		8										
431	robertson1961ovariole	Coleoptera	Platysoma	frontale		8										
432	robertson1961ovariole	Coleoptera	Lucidota	nigricans					14	16						
433	robertson1961ovariole	Coleoptera	Pyractomena	borealis		50										
434	robertson1961ovariole	Coleoptera	Photuris	pennsylvanicus		54										
435	robertson1961ovariole	Coleoptera	Chauliognathus	pennsylvanicus					38	140						
436	robertson1961ovariole	Coleoptera	Cantharis	bilineatis		50										
437	robertson1961ovariole	Coleoptera	Cantharis	rufa		104										
438	robertson1961ovariole	Coleoptera	Collops	tricolor		26										
439	robertson1961ovariole	Coleoptera	Malachius	aeneus		112										
440	robertson1961ovariole	Coleoptera	Anthocomus	fasciatus		18										
441	robertson1961ovariole	Coleoptera	Malachius	fasciatus		18										
442	robertson1961ovariole	Coleoptera	Thanasimus	formicarius		24										
443	robertson1961ovariole	Coleoptera	Trichodes	nutalli		34										
444	robertson1961ovariole	Coleoptera	Oedemera	virescens		14										
445	robertson1961ovariole	Coleoptera	Mylabris	geminata		24										
446	robertson1961ovariole	Coleoptera	Epicauta	pennsylvanica		100										
447	robertson1961ovariole	Coleoptera	Lylta	vesicatoria		160										
448	robertson1961ovariole	Coleoptera	Meloe			400										400+
449	robertson1961ovariole	Coleoptera	Notoxus	monoceros		16										
450	robertson1961ovariole	Coleoptera	Elaterids			8										
451	robertson1961ovariole	Coleoptera	Alaus	oculatus		8										
452	robertson1961ovariole	Coleoptera	Conoderus	lividus		8										
453	robertson1961ovariole	Coleoptera	Lacon	marinus					60	72						
454	robertson1961ovariole	Coleoptera	Elater	marinus					60	72						
455	robertson1961ovariole	Coleoptera	Athous	acanthus		32										
456	robertson1961ovariole	Coleoptera	Ctenicera	holosericeas		16										
457	robertson1961ovariole	Coleoptera	Prosternon	tessallata		16										
458	robertson1961ovariole	Coleoptera	Ctenicera	aena					60	72						
459	robertson1961ovariole	Coleoptera	Elater	aenus					60	72						
460	robertson1961ovariole	Coleoptera	Colombytes	aenus					100	120						
461	robertson1961ovariole	Coleoptera	Ctenicera	aeripennis	destructor	112										
462	robertson1961ovariole	Coleoptera	Agriotes	aterrimus					50	60						
463	robertson1961ovariole	Coleoptera	Agriotes	obscurus					72	96						
464	robertson1961ovariole	Coleoptera	Ampedus	sanguineus					60	80						
465	robertson1961ovariole	Coleoptera	Ampedus	rubricus		10										
466	robertson1961ovariole	Coleoptera	Melanotus	fissilis					72	74						
467	robertson1961ovariole	Coleoptera	Dicerca	divaricata		24										
469	robertson1961ovariole	Coleoptera	Melanophila	acuminata		20										
470	robertson1961ovariole	Coleoptera	Elmis	maugei	megerlei	8										
471	robertson1961ovariole	Coleoptera	Macronychus	glabratus		20										
472	robertson1961ovariole	Coleoptera	Heterocerus	brunneus		12										
473	robertson1961ovariole	Coleoptera	Dermestes	lardarius		18										
474	robertson1961ovariole	Coleoptera	Attagenus	piceus		8										
475	robertson1961ovariole	Coleoptera	Byrrhus	piluta		36										
476	robertson1961ovariole	Coleoptera	Epurea	obsoleta		18										
477	robertson1961ovariole	Coleoptera	Oryzaephilus	surinamensis		6										
478	robertson1961ovariole	Coleoptera	Oryzaephilus	mercator		6										
479	robertson1961ovariole	Coleoptera	Silvanus	bidentatus		6										
480	robertson1961ovariole	Coleoptera	Silvanus	gemellatus		6										
481	robertson1961ovariole	Coleoptera	Ahasverus	advena		6										
482	robertson1961ovariole	Coleoptera	Cryptolestes	lurcicus		4										
483	robertson1961ovariole	Coleoptera	Cryptolestes	ugundae		4										
484	robertson1961ovariole	Coleoptera	Cryptolestes	pusilloides		4										
485	robertson1961ovariole	Coleoptera	Cryptolestes	pusillus		6										
486	robertson1961ovariole	Coleoptera	Cryptolestes	spartii		6										
487	robertson1961ovariole	Coleoptera	Cryptolestes	ferrugineus		8										
488	robertson1961ovariole	Coleoptera	Laemophloeus	monilis		16										
489	robertson1961ovariole	Coleoptera	Dacne	bipustulata	humeralis	10										
490	robertson1961ovariole	Coleoptera	Typhea	stercorea					12	14						
491	robertson1961ovariole	Coleoptera	Triphyllus	bifasciatus		8										
492	robertson1961ovariole	Coleoptera	Triphyllus	connexus	bifasciatus	8										
493	robertson1961ovariole	Coleoptera	Lathridius	porcatus		6										
494	robertson1961ovariole	Coleoptera	Stilbus	apicalis					14	16						
495	robertson1961ovariole	Coleoptera	Hyperaspis	undulata		12										
496	robertson1961ovariole	Coleoptera	Brachyacantha	ursina		14										
497	robertson1961ovariole	Coleoptera	Stethorus	punctillum		4										
498	robertson1961ovariole	Coleoptera	Nephus	redtenbacheri		12										
499	robertson1961ovariole	Coleoptera	Pullus	aler		8										
500	robertson1961ovariole	Coleoptera	Pullus	suturalis		14										
501	robertson1961ovariole	Coleoptera	Pullus	subvillosus		14										
502	robertson1961ovariole	Coleoptera	Pullus	haemorrhoidalis		12										
503	robertson1961ovariole	Coleoptera	Scymmus	interruptus		12										
504	robertson1961ovariole	Coleoptera	Scymmus	rubromaculatus		12										
505	robertson1961ovariole	Coleoptera	Scymmus	nigrinus		12										
506	robertson1961ovariole	Coleoptera	Scymmus	frontalis		12										
507	robertson1961ovariole	Coleoptera	Coccidula	pectoralis		14										
508	robertson1961ovariole	Coleoptera	Coccidula	rufa		14										
509	robertson1961ovariole	Coleoptera	Psyllobora	viginti	maulata	20										
510	robertson1961ovariole	Coleoptera	Coleomegilla	maculata	lengi	38										
511	robertson1961ovariole	Coleoptera	Thea	22-punctata					22	24				name		
512	robertson1961ovariole	Coleoptera	Vibidia	12-guttata		24								name		
513	robertson1961ovariole	Coleoptera	Halysia	16-guttata		28								name		
514	robertson1961ovariole	Coleoptera	Adonia	variegatata					44	50						
515	robertson1961ovariole	Coleoptera	Hippodamia	tredecimpunctata					48	60						
516	robertson1961ovariole	Coleoptera	Hippodamia	tredecimpunctata	tibialis	44										
517	robertson1961ovariole	Coleoptera	Hippodamia	parenthesis					22	30						
518	robertson1961ovariole	Coleoptera	Hippodamia	7-maculata					40	46				name		
519	robertson1961ovariole	Coleoptera	Hippodamia	convergens		24										
520	robertson1961ovariole	Coleoptera	Coccinella	redimita		20										
521	robertson1961ovariole	Coleoptera	Coccinella	14-pustulata		20								name		
522	robertson1961ovariole	Coleoptera	Coccinella	hieroglypha		28										
523	robertson1961ovariole	Coleoptera	Coccinella	5-punctata					20	36				name		
524	robertson1961ovariole	Coleoptera	Coccinella	novemnotata	novemnotata				30	34						
525	robertson1961ovariole	Coleoptera	Coccinella	divaricata		60										
526	robertson1961ovariole	Coleoptera	Coccinella	transversoguttata	quinquenota				64	72						
527	robertson1961ovariole	Coleoptera	Adalia	10-punctata		20								name		
529	robertson1961ovariole	Coleoptera	Adalia	bipunctata		48										
530	robertson1961ovariole	Coleoptera	Semiadalia	11-notata					42	72				name		
531	robertson1961ovariole	Coleoptera	Harmonia	4-punctata					36	40				name		
532	robertson1961ovariole	Coleoptera	Harmonia	axyridis					54	58						
533	robertson1961ovariole	Coleoptera	Anisocalvia	10-guttata					28	30				name		
534	robertson1961ovariole	Coleoptera	Anisocalvia	14-guttata					40	58				name		
535	robertson1961ovariole	Coleoptera	Anatis	ocellata					54	58						
536	robertson1961ovariole	Coleoptera	Coccinella	ocellata		60										
537	robertson1961ovariole	Coleoptera	Anatis	quindecimpunctata		44										
538	robertson1961ovariole	Coleoptera	Neomysia	oblonguttata					44	48						
539	robertson1961ovariole	Coleoptera	Myrrha	18-guttata		16								name		
540	robertson1961ovariole	Coleoptera	Tytthaspis	16-guttata					20	22				name		
541	robertson1961ovariole	Coleoptera	Synharmonia	lyncea		20										
542	robertson1961ovariole	Coleoptera	Synharmonia	conglobata		24										
543	robertson1961ovariole	Coleoptera	Chilocorus	quadripustulatus		20										
544	robertson1961ovariole	Coleoptera	Subcoccinella	vigintiquator	punctata				32	36						
545	robertson1961ovariole	Coleoptera	Coccinella	globosa					32	36						
546	robertson1961ovariole	Coleoptera	Epilachna	pusillanima					60	66						
547	robertson1961ovariole	Coleoptera	Epilachna	11-variolata					82	86				name		
548	robertson1961ovariole	Coleoptera	Epilachna	28-maculata					54	56				name		
549	robertson1961ovariole	Coleoptera	Allecula	morio					60	80						
550	robertson1961ovariole	Coleoptera	Isomira			38										
551	robertson1961ovariole	Coleoptera	Blaps			60										
552	robertson1961ovariole	Coleoptera	Tenebrio	molitor		24										
553	robertson1961ovariole	Coleoptera	Diaperis	maculata					14	16						
554	robertson1961ovariole	Coleoptera	Diaperis	boleti		20										
555	robertson1961ovariole	Coleoptera	Tribolium	castaneum		8										
556	robertson1961ovariole	Coleoptera	Helops	caraboides		104										
557	robertson1961ovariole	Coleoptera	Cylindronotus	laevioctostriatus		104										
558	robertson1961ovariole	Coleoptera	Lagria	hirta					60	80						
559	robertson1961ovariole	Coleoptera	Arthomacra	aena		60										
560	robertson1961ovariole	Coleoptera	Ernobius	mollis		24										
561	robertson1961ovariole	Coleoptera	Anobium	punctatum		12										
562	robertson1961ovariole	Coleoptera	Anobium	pertinax		12										
563	robertson1961ovariole	Coleoptera	Ptilinus	pectinicornis		32										
564	robertson1961ovariole	Coleoptera	Bostrichus			4										
565	robertson1961ovariole	Coleoptera	Lyctus	brunneus		24										
566	robertson1961ovariole	Coleoptera	Cis	boleti		12										
567	robertson1961ovariole	Coleoptera	Scarabaeus	sacer		1										
568	robertson1961ovariole	Coleoptera	Scarabaeus	semipunctatus		1										
569	robertson1961ovariole	Coleoptera	Scarabaeus	variolosus		1										
570	robertson1961ovariole	Coleoptera	Scarabaeus	laticollis		1										
571	robertson1961ovariole	Coleoptera	Sisyphus	schaefferi		1										
572	robertson1961ovariole	Coleoptera	Canthon	rutilans		1										
573	robertson1961ovariole	Coleoptera	Pinotus	carolinus		1										
574	robertson1961ovariole	Coleoptera	Pinotus	anaglypticus		1										
575	robertson1961ovariole	Coleoptera	Copris	hispanus		1										
576	robertson1961ovariole	Coleoptera	Aphodius	firmetarius		14										
577	robertson1961ovariole	Coleoptera	Bolbocerosoma	farctum		2										
578	robertson1961ovariole	Coleoptera	Eucanthus	lazarus					2	4						
579	robertson1961ovariole	Coleoptera	Geotrupes	stercorarius		12										
580	robertson1961ovariole	Coleoptera	Geotrupes	sylvaticus		12										
581	robertson1961ovariole	Coleoptera	Trox	sabulosus		10										
582	robertson1961ovariole	Coleoptera	Omaloplia	brunnea		12										
583	robertson1961ovariole	Coleoptera	Serica	brunnea		12										
584	robertson1961ovariole	Coleoptera	Diplotaxis	tristis		12										
585	robertson1961ovariole	Coleoptera	Melolontha	vulgaris		12										
586	robertson1961ovariole	Coleoptera	Phyllophaga	fusca		12										
587	robertson1961ovariole	Coleoptera	Phyllophaga	futilis		12										
588	robertson1961ovariole	Coleoptera	Phyllophaga			12										
589	robertson1961ovariole	Coleoptera	Phyllotherpa	horticolla		12										
590	robertson1961ovariole	Coleoptera	Dichelonyx	subvittata		12										
591	robertson1961ovariole	Coleoptera	Macrodactylus	subspinosus		12										
592	robertson1961ovariole	Coleoptera	Hoplia	trifasciata		10										
593	robertson1961ovariole	Coleoptera	Popillia	japonica					10	12						
594	robertson1961ovariole	Coleoptera	Bothynus	relictus					10	12						
595	robertson1961ovariole	Coleoptera	Ligyrus	gibbosus		12										
596	robertson1961ovariole	Coleoptera	Dynastes	tityus		12										
597	robertson1961ovariole	Coleoptera	Cotinis	nitida		12										
598	robertson1961ovariole	Coleoptera	Cetonia	aurata		12										
599	robertson1961ovariole	Coleoptera	Trichius	fascrata		12										
600	robertson1961ovariole	Coleoptera	Porcus	parallelipidus		24										
601	robertson1961ovariole	Coleoptera	Popilius	disjunctus		4										
602	robertson1961ovariole	Coleoptera	Passalus	cornutus		4										
603	robertson1961ovariole	Coleoptera	Cerambyx	cerdoheros					60	72						
604	robertson1961ovariole	Coleoptera	Gaurotes	abdominalis		22										
605	robertson1961ovariole	Coleoptera	Megacyllene	robiniae		54										
606	robertson1961ovariole	Coleoptera	Monochamus	scutellatus		22										
607	robertson1961ovariole	Coleoptera	Aegomorphus	decipiens		40										
608	robertson1961ovariole	Coleoptera	Tetraopes	tetrophthalmus		60										
609	robertson1961ovariole	Coleoptera	Crioceris	asparagi					16	26						
610	robertson1961ovariole	Coleoptera	Crioceris	duodecimpunctata					22	24						
611	robertson1961ovariole	Coleoptera	Lema	trilineata		12										
612	robertson1961ovariole	Coleoptera	Anomoea	laticlavia	laticlavia	32										
613	robertson1961ovariole	Coleoptera	Chlamisus	chamaedaphnes					8	10						
614	robertson1961ovariole	Coleoptera	Chlamisus	eubati					6	8						
615	robertson1961ovariole	Coleoptera	Cryptocephalus	quadruplex		14										
616	robertson1961ovariole	Coleoptera	Bassareus	sellatus		16										
617	robertson1961ovariole	Coleoptera	Paria			14										
618	robertson1961ovariole	Coleoptera	Chrysochus	auratus		30										
619	robertson1961ovariole	Coleoptera	Timarcha	coriaria		10										
620	robertson1961ovariole	Coleoptera	Labidomera	clivivollis					38	42						
621	robertson1961ovariole	Coleoptera	Leptinotarsa	decemlineata		50										
622	robertson1961ovariole	Coleoptera	Chrysolina	hyperica		20										
623	robertson1961ovariole	Coleoptera	Chrysomela	sanguinolenta		32										
624	robertson1961ovariole	Coleoptera	Chrysomela	populi		40										
625	robertson1961ovariole	Coleoptera	Chrysomela	mainensis	mainensis	32										
626	robertson1961ovariole	Coleoptera	Calligrapha	multipunctata	bigsbyana				30	36						
627	robertson1961ovariole	Coleoptera	Calligrapha	philadelphica					28	36						
628	robertson1961ovariole	Coleoptera	Calligrapha	vicina					28	34						
629	robertson1961ovariole	Coleoptera	Calligrapha	rowena					30	34						
630	robertson1961ovariole	Coleoptera	Calligrapha	alni					24	28						
631	robertson1961ovariole	Coleoptera	Calligrapha	confluens					42	46						
632	robertson1961ovariole	Coleoptera	Calligrapha	apicalis					32	36						
633	robertson1961ovariole	Coleoptera	Calligrapha	alnicola					32	36						
634	robertson1961ovariole	Coleoptera	Calligrapha	pnirsa					42	46						
635	robertson1961ovariole	Coleoptera	Calligrapha	amator		44										
636	robertson1961ovariole	Coleoptera	Calligrapha	virginea					32	36						
637	robertson1961ovariole	Coleoptera	Gonioctena	olivacea					16	24						
638	robertson1961ovariole	Coleoptera	Gonioctena	fornicata		36										
639	robertson1961ovariole	Coleoptera	Trirhabda	virgata		30										
640	robertson1961ovariole	Coleoptera	Trirhabda	borealis		22										
641	robertson1961ovariole	Coleoptera	Trirhabda	canadensis		30										
642	robertson1961ovariole	Coleoptera	Galerucella	xanthomelaena					50	56						
643	robertson1961ovariole	Coleoptera	Galerucella	alni		12										
644	robertson1961ovariole	Coleoptera	Disonycha	triangularis		26										
645	robertson1961ovariole	Coleoptera	Epitrix			12										
646	robertson1961ovariole	Coleoptera	Longitarsus			14										
647	robertson1961ovariole	Coleoptera	Cassida	viridis		14										
648	robertson1961ovariole	Coleoptera	Cassida	equestris		14										
649	robertson1961ovariole	Coleoptera	Anthribus			4										
650	robertson1961ovariole	Coleoptera	Rhynchites			4										
651	robertson1961ovariole	Coleoptera	Apion	pomonae		4										
652	robertson1961ovariole	Coleoptera	Polydrosus			4										
653	robertson1961ovariole	Coleoptera	Polydrosus	mollis		4										
654	robertson1961ovariole	Coleoptera	Polydrosus	sericeus		4										
655	robertson1961ovariole	Coleoptera	Polydrosus	pilosus		4										
656	robertson1961ovariole	Coleoptera	Sciaphilus	asperatus		4										
657	robertson1961ovariole	Coleoptera	Cneorhinus			4										
658	robertson1961ovariole	Coleoptera	Brachyderes			4										
659	robertson1961ovariole	Coleoptera	Brachyrhinus			4										
660	robertson1961ovariole	Coleoptera	Brachyrhinus	sulcatus		4										
661	robertson1961ovariole	Coleoptera	Brachyrhinus	ovatus		4										
662	robertson1961ovariole	Coleoptera	Phyllobius			4										
663	robertson1961ovariole	Coleoptera	Sitona	hispidolus		4										
664	robertson1961ovariole	Coleoptera	Sitona	lepidus		4										
665	robertson1961ovariole	Coleoptera	Sitona	scissifrons		4										
666	robertson1961ovariole	Coleoptera	Hypera	punctata		4										
667	robertson1961ovariole	Coleoptera	Hypera	nigrirostris		4										
668	robertson1961ovariole	Coleoptera	Phytonomus			4										
669	robertson1961ovariole	Coleoptera	Hylobius	abietis		4										
670	robertson1961ovariole	Coleoptera	Hylobius			4										
671	robertson1961ovariole	Coleoptera	Dorytomus			4										
672	robertson1961ovariole	Coleoptera	Curculio			4										
673	robertson1961ovariole	Coleoptera	Cionus			4										
674	robertson1961ovariole	Coleoptera	Anthonomus	pomorum		4										
675	robertson1961ovariole	Coleoptera	Anthonomus	grandis		4										
676	robertson1961ovariole	Coleoptera	Gymnetron	antirrhini		4										
677	robertson1961ovariole	Coleoptera	Cleonus			4										
678	robertson1961ovariole	Coleoptera	Lixus			4										
679	robertson1961ovariole	Coleoptera	Cossonus	linearis		4										
680	robertson1961ovariole	Coleoptera	Pentarthrum	huttoni		4										
681	robertson1961ovariole	Coleoptera	Caulotrupis	aeneopiceus		4										
682	robertson1961ovariole	Coleoptera	Eremotes	elongatus		4										
683	robertson1961ovariole	Coleoptera	Eremotes	porcatus		2										
684	robertson1961ovariole	Coleoptera	Sitophilus	granarius		4										
685	robertson1961ovariole	Coleoptera	Sitophilus	oryzae		4										
686	robertson1961ovariole	Coleoptera	Calendra	parvula		4										
687	robertson1961ovariole	Coleoptera	Scolytus			4										
688	robertson1961ovariole	Coleoptera	Scolytus	scolytus		4										
689	robertson1961ovariole	Coleoptera	Leperisinus	fraxini		4										
690	robertson1961ovariole	Coleoptera	Blastophagus	piniperda		4										
691	robertson1961ovariole	Coleoptera	Hylesinus	piniperda		4										
692	robertson1961ovariole	Coleoptera	Hylastes			4										
693	robertson1961ovariole	Coleoptera	Dendroctonus	monticolae		4										
694	robertson1961ovariole	Coleoptera	Phloeosinus	bicolor		4										
695	robertson1961ovariole	Coleoptera	Phloeosinus	canadensis		4										
696	robertson1961ovariole	Coleoptera	Ips	typographus		4										
697	robertson1961ovariole	Coleoptera	Ips	perturbartus		4										
698	robertson1961ovariole	Coleoptera	Pityogenes	chalcographus		4										
699	robertson1961ovariole	Coleoptera	Pityogenes	hopkinsi		4										
700	robertson1961ovariole	Coleoptera	Orthotomiscus	vicinus		4										
701	robertson1961ovariole	Coleoptera	Xylechinus	piosus		4										
702	buning1979trophic	Coleoptera	Scaphidum	quadrimaculatum		10										
703	buning1979trophic	Coleoptera	Helophorus	aquaticus		14										
704	buning1979trophic	Coleoptera	Hydrobius	fuscipes		22										
705	buning1979trophic	Coleoptera	Cercyon	haemorrhoidales		8										
706	buning1979trophic	Coleoptera	Sphaeridium	scarabaeoides		8										
707	buning1979trophic	Coleoptera	Tachyporus	obtusus		8										
708	buning1979trophic	Coleoptera	Silpha	obscura		24										
709	buning1979trophic	Coleoptera	Phosphuga	atrata		14										
710	buning1979trophic	Coleoptera	Elmis	maugei		22										
711	buning1979trophic	Coleoptera	Sericus	brunneus		60										
712	buning1979trophic	Coleoptera	Psilothrix	cyanaeus		32										
713	buning1979trophic	Coleoptera	Hedobia	imperialis		46										
714	buning1979trophic	Coleoptera	Aphodius	prodomus		10										
715	buning1979trophic	Coleoptera	Coccinella	septempunctata		120										
716	buning1979trophic	Coleoptera	Coccidula	scutellata		16										
717	buning1979trophic	Coleoptera	Ischnomera	coerulea		58										
718	buning1979trophic	Coleoptera	Meloe	proscarabeus		2000										
719	buning1979trophic	Coleoptera	Mylabris	variabilis		44										
720	buning1979trophic	Coleoptera	Anaspis	frontalis		24										
721	buning1979trophic	Coleoptera	Isomira	murina		14										
722	buning1979trophic	Coleoptera	Pimelia	costata		34										
723	buning1979trophic	Coleoptera	Blabs	mortisaga		20										
724	buning1979trophic	Coleoptera	Byturus	tomentosus		14										
725	buning1979trophic	Coleoptera	Uleiota	planata		12										
726	buning1979trophic	Coleoptera	Gaurotes	virginea		18										
727	buning1979trophic	Coleoptera	Gaotroidea	viridula		18										
728	buning1979trophic	Coleoptera	Chrysomela	staphylea		32										
729	buning1979trophic	Coleoptera	Leptinotarsa	decemlineata		68										
730	buning1979trophic	Coleoptera	Aphthona	nonstriata		14										
731	buning1979trophic	Coleoptera	Bruchideus	obtectus		12										
732	buning1979trophic	Coleoptera	Ips	sexdentatus		4										
733	buning1979trophic	Coleoptera	Phyllobius	urticae		4										
734	ghoneim2013embryonic	Coleoptera	Meloe	proscarabeus		2000										The black blister beetle M. proscarabaeus was reported to have approximately 1000 ovarioles per ovary (Büning, 1994)
736	murad1980histomorphology	Diptera	Hippobosca	maculata		2										Each ovary is formed of a single polytrophic ovariole
737	rozen2006nesting	Hymenoptera	Monoeca	haemorrhoi		8										
738	rozen2006nesting	Hymenoptera	Protosiris	gigas		8										
739	mercer1976ovarian	Coleoptera	Heteronychus	arator		12										Each ovarv is composed of six ovarioles which open into the calyx, and is connected to the common oviduct by a short lateral oviduct
740	stringer1988female	Coleoptera	Costelytra	zealandia		12										Two ovaries each comprising six ovarioles join swollen calyxes at the ends of short lateral oviducts
741	edmonds1974internal	Coleoptera	Coprophanaeus	lancifer		1										the female reproductive system includes but one ovariole, resulting in low fecundity, compensated for by a high rate of offspring survival effected by a complex nidification behavior; the male system is elaborate, and likely designed for the production of a complex spermatophore
743	browne1998evolution	Coleoptera	Osmoderma			24										
746	diefenbach1998characterization	Coleoptera	Phytalus	sanctipauli		12										There are 6 ovarioles (Ov) per ovary (O), which is the basic number found in Scarabaeidae (Robertson, 1961; Crowson, 1981)
747	martinez1997coordinated	Coleoptera	Copris	incertus		1										Copris incertus has one ovary with a single ovariole, a characteristic shared by all Scarabaeinae females (Ritcher and Baker 1974)
748	wagenhoff2014spring	Coleoptera	Melolontha	hippocastani		12										Generally, a female has 2 ovaries with 6 ovarioles each (ovariole status: 6/6)
749	wagenhoff2014spring	Coleoptera	Melolontha	melolontha		12										Generally, a female has 2 ovaries with 6 ovarioles each (ovariole status: 6/6)
751	buning1979telotrophic	Coleoptera	Meloe	proscarabeaus		2000										Even the total number of ovarioles per ovary (two in the case of the Curculionidae; about 1,000 in Meloe proscarabaeus, Meloidae)
752	kuniata1992biology	Coleoptera	Lepidiota	reuleauxi					4	37	39					Mean ovarioles dissected from females at the onset and peak of mating season numbered 10.7 (SE k 0.7, range = 4-19, N = 35) and 17.3 (SE f 1.3, range = 5-37, N = 39, respectively
753	lumbreras1991ovarian	Coleoptera	Bubas	bubalus		1										The single ovary of B. bubalus consists of but one ovariole
754	klemperer1983subsocial	Coleoptera	Oniticellus	cinctus		1										The ovary of 0.cinctus comprises a single left-sided ovariole, as is typical in Scara- baeinae
755	ramirez2008ovariole	Hemiptera	Dactylopius	coccus		400										
756	ramirez2008ovariole	Hemiptera	Orthezia	curticae		30										
757	ramirez2008ovariole	Hemiptera	Dysmicoccus	newsteadi					100	200						
758	ramirez2008ovariole	Hemiptera	Kermes	quercus					100	200						
759	ramirez2008ovariole	Hemiptera	Eriococcus	buxi					100	200						
760	ramirez2008ovariole	Hemiptera	Gossyparia	spuria					100	200						
761	ramirez2008ovariole	Hemiptera	Cryptococcus	fagisuga					100	200						
762	ramirez2008ovariole	Hemiptera	Pseudochermes	fraxini					100	200						
763	ramirez2008ovariole	Hemiptera	Porphyrophora	polonica		300										~300
764	martinez1998effects	Coleoptera	Canthon	cyanellus	cyanellus	1										The C. c. cyanellus females, like all of Scarabaeinae, have only one left ovary with one ovariole (Halffter and Edmonds 1982)
765	sato1987nesting	Coleoptera	Kheper	platynotus		1										Like other scarabs (Halffter & Edmonds. 1982) a female of K.plafynotus has only one ovary (the left) and only one ovariole in that ovary
766	klemperer1986life	Coleoptera	Copris	laeviceps		1										The ovariole of C. laeviceps consists of the single left-sided ovariole
767	bellinger1985interspecific	Orthoptera	Appalachia	hebardi					10	13						
768	bellinger1985interspecific	Orthoptera	Melanoplus	virides		10										
769	bellinger1985interspecific	Orthoptera	Melanoplus			18							sp 1			
770	bellinger1985interspecific	Orthoptera	Melanoplus	scudderi					16	28						
771	bellinger1985interspecific	Orthoptera	Melanoplus	keeleri					24	34						
772	bellinger1985interspecific	Orthoptera	Melanoplus						30	31			sp. 2			
773	bellinger1985interspecific	Orthoptera	Melanoplus	sanguinipes	vulturnus				27	38						
774	bellinger1985interspecific	Orthoptera	Melanoplus			33							sp 3			
775	bellinger1985interspecific	Orthoptera	Melanoplus	punctulatus	punctulatus	40										
776	bellinger1985interspecific	Orthoptera	Melanoplus	femurrubum	femurrubum				26	61						
777	bellinger1985interspecific	Orthoptera	Melanoplus	spretus		100										
778	bellinger1985interspecific	Orthoptera	Melanoplus	bivittatus					72	81						
779	bellinger1985interspecific	Orthoptera	Melanoplus	diffentiatis					156	229						
780	smith1964ovarioles	Orthoptera	Melanoplus	sanguinipes					24	32						The average number of ovarioles per grasshopper (+ SD) was 28.1 + 2.4 in M. sanguinipes and varied from 24 to 32
781	smith1964ovarioles	Orthoptera	Melanoplus	bivittatus					56	97						The average number of ovarioles in 21 females was 80.1 10.1 with a range from 56 to 97
