ID	publication	name	updated_fullname	taxonomy_source	rank_matched	matched	score	ott_id	ncbi_id	name_source	matched_id_in_source	updated_genus	updated_genus_ott_id	updated_genus_ncbi_id	updated_species	updated_species_ott_id	updated_species_ncbi_id	updated_subspecies	ott_accepted_name	ott_version	higher_source	domain	kingdom	phylum	subphylum	superclass	class	subclass	infraclass	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	species subgroup	species group	subgenus	section	genus	subsection
1932	price1972parasitiods	Pleolophus indistinctus	Pleolophus indistinctus	OTT	species	Pleolophus indistinctus	100	4559615		OTT	4559615	Pleolophus	4559591	1720808	indistinctus	4559615			Pleolophus indistinctus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Hemigastrini							
1933	price1972parasitiods	Euceros frigidus	Euceros frigidus	OTT	species	Euceros frigidus	100	3281114		OTT	3281114	Euceros	798200	65294	frigidus	3281114			Euceros frigidus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Eucerotinae								
1934	grosch1977variation	Habrobracon juglandis	Habrobracon hebetor	OTT	species	Habrobracon juglandis	100	41113	69819	OTT	41113	Habrobracon	41115	69818	hebetor	41113	69819		Habrobracon hebetor	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Braconidae	Braconinae								
1935	kugler1967biology	Agrothereutes tuneatus	Agrothereutes tunetanus	OTT	species	Agrothereutes tunetanus	93	5037629		OTT	5037629	Agrothereutes	915224	172372	tunetanus	5037629			Agrothereutes tunetanus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Cryptini	Agrothereutina						
1936	price1974energy	Exenterus	Exenterus	OTT	genus	Exenterus	100	835799	494353	OTT	835799	Exenterus	835799						Exenterus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Tryphoninae	Exenterini							
1937	price1974energy	Pleolophus	Pleolophus	OTT	genus	Pleolophus	100	4559591	1720808	OTT	4559591	Pleolophus	4559591						Pleolophus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Hemigastrini							
1938	price1974energy	Mastrus	Mastrus	OTT	genus	Mastrus	100	920692	274285	OTT	920692	Mastrus	920692						Mastrus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Phygadeuontini	Mastrina						
1939	price1974energy	Endasys	Endasys	OTT	genus	Endasys	100	201687	172465	OTT	201687	Endasys	201687						Endasys	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Phygadeuontini	Endaseina						
1940	price1974energy	Gelis	Gelis	OTT	genus	Gelis	100	452627	172486	OTT	452627	Gelis	452627						Gelis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Phygadeuontini	Gelina						
1941	price1974energy	Olesicampe	Olesicampe	OTT	genus	Olesicampe	100	831731	288177	OTT	831731	Olesicampe	831731						Olesicampe	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Campopleginae								
1942	price1974energy	Lamachus	Lamachus	OTT	genus	Lamachus	100	124837	494828	OTT	124837	Lamachus	124837						Lamachus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Ctenopelmatinae	Mesoleiini							
1944	benham1972digestive	Eriborus molestae	Mastrus molestae	OTT	species	Eriborus molestae	100	3282701		OTT	3282701	Mastrus	920692	274285	molestae	3282701			Mastrus molestae	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Phygadeuontini	Mastrina						
1945	benham1972digestive	Phaeogenes nigridens	Tycherus nigridens	OTT	species	Phaeogenes nigridens	100	4552563		OTT	4552563	Tycherus	183494	274400	nigridens	4552563			Tycherus nigridens	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Ichneumoninae	Alomyini							
1946	benham1972digestive	Diadomus collaris	Diadromus collaris	OTT	species	Diadromus collaris	97	729599	7421	OTT	729599	Diadromus	154826	7419	collaris	729599	7421		Diadromus collaris	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Ichneumoninae	Alomyini							
1947	benham1972digestive	Glypta rufiscutellaris	Glypta rufiscutellaris	OTT	species	Glypta rufiscutellaris	100	3279824		OTT	3279824	Glypta	52509	288227	rufiscutellaris	3279824			Glypta rufiscutellaris	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Banchinae	Glyptini							
1948	quednau1975observations	Priopoda nigricollis	Priopoda	OTT	genus	Priopoda	57	1041697	495491	OTT	1041697	Priopoda	1041697						Priopoda	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Ctenopelmatinae	Perilissini							
1949	dowell1978ovary	Bathyplectes anurus	Bathyplectes anurus	OTT	species	Bathyplectes anurus	100	3288459	1525832	OTT	3288459	Bathyplectes	893931	288157	anurus	3288459	1525832		Bathyplectes anurus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Campopleginae								
1950	dowell1978ovary	Bathyplectes curculionis	Bathyplectes curculionis	OTT	species	Bathyplectes curculionis	100	882233	288158	OTT	882233	Bathyplectes	893931	288157	curculionis	882233	288158		Bathyplectes curculionis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Campopleginae								
1951	dowell1978ovary	Bathyplectes stenostigma	Mastrus pictipes	OTT	species	Bathyplectes stenostigma	100	3280819		OTT	3280819	Mastrus	920692	274285	pictipes	3280819			Mastrus pictipes	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Phygadeuontini	Mastrina						
1952	dowell1978ovary	Tetrastichus incertus	Oomyzus incertus	OTT	species	Tetrastichus incertus	100	3312422		OTT	3312422	Oomyzus	96055	865979	incertus	3312422			Oomyzus incertus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Chalcidoidea	Eulophidae	Tetrastichinae								
1953	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1954	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1955	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1956	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1957	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1958	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1959	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1960	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1961	oguchi2016reproductive	Hodotermopsis sjostedti	Hodotermopsis sjostedti	OTT	species	Hodotermopsis sjostedti	100	944978	377914	OTT	944978	Hodotermopsis	650860	62958	sjostedti	944978	377914		Hodotermopsis sjostedti	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Orthopteroidea	Dictyoptera	Blattodea				Blattoidea	Termopsidae	Termopsinae	Termopsini							
1962	zhang2010reproductive	Tetrastichus hagenowii	Aprostocetus hagenowii	OTT	species	Tetrastichus hagenowii	100	403900	108688	OTT	403900	Aprostocetus	254029	108626	hagenowii	403900	108688		Aprostocetus hagenowii	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Chalcidoidea	Eulophidae	Tetrastichinae								
